Sembol,Açıklama,Fiyat,Fiyat - Döviz,"Fiyat değişimi %, 1 gün","Hacim, 1 gün","Bağıl hacim, 1 gün",Piyasa değeri,Piyasa değeri - Döviz,Fiyatın kazanca oranı,"Seyreltilmiş hisse başına kar, Son 12 ay","Seyreltilmiş hisse başına kar, Son 12 ay - Döviz","Seyreltilmiş hisse başına kar büyümesi %, TTM YY","Temettü verimi %, Son 12 ay",Sektör,Analist derecelendirmesi
SNICA,SANİCA ISI SANAYİ A.Ş.,3.54,TRY,-1.1173184357541908,9427525,0.5707195881061518,2147999954,TRY,,-1.2945,TRY,28.889255108767305,0,Üretici imalatı,Derecelendirme yok
SNPAM,SÖNMEZ PAMUKLU SANAYİİ A.Ş.,20.76,TRY,9.899417681312869,135481,4.263988946694228,7367099762,TRY,,-0.874,TRY,-565.144596651446,0,İşlenebilen endüstriler,Derecelendirme yok
SODSN,SODAŞ SODYUM SANAYİİ A.Ş.,7.89,TRY,-2.2304832713754723,122277,1.7110820046514361,968399963,TRY,,-0.3954,TRY,-913.8461538461538,0,İşlenebilen endüstriler,Derecelendirme yok
SOHOE,Soho Giyim ve Enerji A.S.,10.83,TRY,0.9319664492078251,32733012,1.0301903054718495,3291538366,TRY,,,,,0,"Elektrik, Su, Gaz Hizmetleri",Derecelendirme yok
SOKE,SÖKE DEĞİRMENCİLİK SANAYİ VE TİCARET A.Ş.,15.02,TRY,0.1333333333333305,1196879,0.43900031466703815,5797500000,TRY,,-0.6711,TRY,-42.45383145828911,0,İşlenebilen endüstriler,Derecelendirme yok
SOKM,ŞOK MARKETLER TİCARET A.Ş.,51.3,TRY,-0.5813953488372176,5110060,0.83507943505889,30613761961,TRY,,-3.7604,TRY,-644.7811447811448,0,Perakende satış,Al
SONME,SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.,123,TRY,0.5723630417007383,14186,0.5849173298148762,9050200226,TRY,,-5.2011,TRY,-306.62243762911174,0.541424366312347,İşlenebilen endüstriler,Derecelendirme yok
SRVGY,SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,2.42,TRY,0,8645968,0.4808037743113634,7865000248,TRY,3.1766867944342345,0.7618,TRY,17.98048629394455,3.17863636363636,Finans,Derecelendirme yok
SSAAT,Saat ve Saat Sanayi ve Ticaret A.S.,37.06,TRY,0.1621621621621683,5916092,0.25431032205601656,24434392151,TRY,,,,,,Dayanıklı tüketim malları,Derecelendirme yok
SUMAS,SUMAŞ SUNİ TAHTA VE MOBİLYA SANAYİ A.Ş.,301.75,TRY,0.6672226855713094,4976,1.4143194156268653,1743026543,TRY,,-2.2749,TRY,-1016.1900926298832,0.669966972477064,İşlenebilen endüstriler,Derecelendirme yok
SUNTK,SUN TEKSTİL SANAYİ VE TİCARET A.Ş.,46.74,TRY,9.9764705882353,5337448,0.9565471049692135,20157838974,TRY,37.681393099000324,1.2404,TRY,-38.58189740542682,2.57439529411765,Dayanıklı olmayan tüketici ürünleri,Derecelendirme yok
SURGY,Sur Tatil Evleri Gayrimenkul Yatirim Ortakligi A.S.,63.9,TRY,-4.054054054054048,2596040,1.1021443679889562,11155499744,TRY,,-2.3639,TRY,-126.4936957130849,0,Finans,Derecelendirme yok
SUWEN,SUWEN TEKSTİL SANAYİ PAZARLAMA A.Ş.,6.69,TRY,9.852216748768482,13452833,2.1736101579445566,3410400085,TRY,,-0.0607,TRY,-138.73643905552012,2.05254515599343,Perakende satış,Derecelendirme yok
SVGYO,Savur Gayrimenkul Yatirim Ortakligi A.S,14.48,TRY,9.946848899012913,58358327,2.6424680203300905,14263110000,TRY,,,,,0.0584662110858011,Finans,Derecelendirme yok
TABGD,TAB Gida Sanayi ve Ticaret A.S.,254.5,TRY,2.249899558055442,1431589,1.5038271413261721,65035575261,TRY,27.526011810768136,9.2458,TRY,21.02782941068669,2.00883889112093,Tüketici hizmetleri,Güçlü al
TARKM,Tarkim Bitki Koruma Sanayi ve Ticaret A.S.,459.25,TRY,-0.1087547580206634,84804,0.7279100867442495,9654750000,TRY,,,,,0,İşlenebilen endüstriler,Derecelendirme yok
TATEN,Tatlipinar Enerji Uretim A.S.,10.44,TRY,-3.064066852367689,13872407,0.6532095724602267,12073762127,TRY,51.760039662865644,0.2017,TRY,-82.58203799654576,0,"Elektrik, Su, Gaz Hizmetleri",Derecelendirme yok
TATGD,TAT GIDA SANAYİ A.Ş.,17.05,TRY,0.3531489111242041,2313975,0.5133166173098752,4159151995.9999995,TRY,7.395679708510453,2.3054,TRY,836.7736692401461,0,Dayanıklı olmayan tüketici ürünleri,Derecelendirme yok
TAVHL,TAV HAVALİMANLARI HOLDİNG A.Ş.,284,TRY,-0.6993006993006993,2304975,0.5401637550548041,103312900330,TRY,19.56273161860939,14.5174,TRY,189.40454119570202,0.631115384615385,Taşımacılık,Güçlü al
